article,anchor_price
80235B5F622,4496
82292344033,2687
82292219911,2464
51472303796,3535
82292408819,2814
82292355519,4111
82292355518,4163
82292365436,4127
80162864021,2646
80932864211,7944
63312410071,2164
51210414778,1399
82292408818,2814
80292454754,2764
80935A51988,11879
80272454661,1728
82292219909,2464
51217006821,1148
51472458551,5319
51472458555,4396
63312468386,6622
51472458440,4158
51472458554,4370
51952449251,4920
36122455268,5603
51472219802,3136
51952183852,1857
51138745730,15974
71102333674,7424
51472450511,5755
51472458439,5234
82162302402,6279
51472219799,4011
51125A5C8F4,10949
51472461168,5484
84102461531,10968
82162302431,6166
82162302409,6279
51472347734,10888
61432450841,12921
82712444056,22611
82162410526,4622
82162156540,4622
82122448367,5026
51472210728,6726
51472414224,9609
51472432165,9609
51472450516,9982
51472365435,11090
51472286007,9480
51472446290,4993
51472210210,3563
51472365856,3912
51472458441,4085
82722287886,40566
82162413633,4418
51472348072,6279
51472414218,4956
51138745732,15974
51472461166,7393
51472147953,3185
82162413632,4077
51472210208,4370
65412458285,2242
51472407168,7393
51472458568,11457
51477353713,10056
51470010557,4138
82162410525,4303
51475B70A00,3912
82162211820,3164
51472365853,5018
82162155847,4390
51472451766,11812
51472458567,11457
82712360951,22611
51712334708-51712334710,14367
82162211821,2928
51472458557,4993
51472414219,4433
51472154481,6726
51128078671-51128078672,23167
82162156538,4622
82722472964,14430
82162155858,4708
51472458552,4370
51472152345,6573
51472353819,5139
82712232293,20352
51138072085,7779
51472295245,7020
51472458443,3972
51472336798,4164
35002232278,8819
51472465482,9848
82162155846,4489
51138096590,14384
51472153687,6573
51472210729,3428
51472153889,4370
51472458863,5444
51472346808,3349
51477380886,12258
18307553644,3670
82712338614,18092
82712365397,22611
82712414373,20103
51472458558,4993
51712289685,8311
51712289686,8311
51712336813-51712336814,7093
51712337762-51712337763,14883
51712407733,5033
51712337763,5537
82162353919,6279
51472239638,3959
82732420634,36437
82162218984,3549
82162333952,3406
82160414674,5278
82160416160,5570
82162365720,4469
51472451589,9982
51472158364,5477
51470444754,5722
51477316630,8746
51472353381,9695
51472444038,4993
51472336795,3242
51472336797,4164
51472458442,5484
51472409276,3313
51477449443,10056
51952183855,1850
51952449252,7583
52302220492,6279
82712350123,18092
82712350122,20352
82712361815,18092
82712338617,18092
82712150092,20352
82712350126,20103
51712430994,15463
51712297589,4091
51712150253,4814
51712146912,3456
51712297590,4091
51712150252,4814
51138096591,13158
51137979349,9652
51712240775-51712240778,6731
51137979350,9639
51162446964-51162446965,49000
51112455497,21694
51162343739,6371
51192455500,27315
51192455432,80498
51192461277,34238
51137262119-51137262120,10585
11127641556,8299
51712240773-51712240774,8507
63217241541-63217241542,25903
32302230190,48129
51472220001,6322
51472219975,6322
18302355889,16275
63217420991-63217420992,22069
36116796220,41374
18302286673,63472
33502320928,44454
34112450468,135594
36116864390-36116864391,43817
41622460278,180513
18308485758,4628
51139448474,11182
51142458194,8905
51142458236,8905
51472457270,13666
51192455880,20724
51628092947,19198
51192455821,24694
63172466703,9456
51192458369,39304
51192455856,27900
18302464500,36106
51192455832,39310
51192455835,33515
32302462905,46906
51192455896-51192455897,35300
51955A271A3,50754
51192455819,73183
18302464496,124503
34108854026,159740
32302463594-32302463595,22170
51712352811-51712352812,12245
33107555607,141928
11122444531,163437
63312469631,2264
51128078907,3606
51478077315,4131
51145A12C04,8214
51145A11FA3,8605
51129854828,9744
51138078548,9719
51112473232-51112473233,15640
51472472521,9670
51192473036-51192473037,124300
51192472190,34956
51192472192,56802
51142432164,9327
51712431044,5192
51145A1D139,9750
51712430993-51712430994,10167
51129852168,11750
51129852169,11750
51192455950-51192455951,27800
51192414144,22795
51192412406,27167
51712464947-51712464948,33220
51192412410,31036
51192414142,43231
51192414137,54182
51162466669,23682
18302444530,56039
63135A2AEC0,44914
36117856925-36117856926,70196
36116873943-36116874445,100510
51192414139,83023
36116884498-36116884505,115421
32302448757,53941
18302431035,81979
51192412405,107331
51192447015-51192447016,120700
34112289348,197085
63132455650,171291
18308631960,6385
18302444485,70816
18302444486,110944
51712297592-51712297595,5970
51712352809-51712352810,23217
51712407732 -51712407733,9534
51138080619,9236
82162155851,2407
82162155852,4144
51137410465,13051
51192471091,50580
51192464329,50580
51118098087,6151
51117237421,4502
51138469959,5795
51168097351,6520
51712466810-51712466811,42027
51712462817,21742
51472450515,6080
51472286006,5934
51472450514,6890
51477491450,10870
51472164767,12903
51472458443,3972
51472451586,4531
51192449587,16021
51628075685,19198
51712462819,21742
51137418177,2921
51142456383,8605
51472458410,8752
51142456384,10753
51138092677,4211
51137454888,10888
51167466195,26202
51192455499,27315
51712467262,48404
51778498997,9505
34112458883,212984
51628083919,21121
61319475063,7467
61319475056,36286
51472353380,7020
51117303107-108,14018
51712354497-51712354498,16379
51162361520,27397
18308576916,53374
18302344205,37537
34112348054,178892
51712150246-47,7195
51137185223,5271
51142469098,8697
51192460601,18861
51138745303,10888
51712467264,48404
51712467265,48404
51472458561,6365
51472458559,8116
51472458562,6720
51115A08FF9-51115A08FE9,32000
51132469622-51132469623,50800
51192472782,115196
51195A1B169-51195A1B170,110000
51192473040,58417
51192475051,174118
83122288907,400
83222447362,3156
83225A4F016,2985
83222365987,2699
81229400272,1521
83120445832,2960
83222365988,2576
83122288901,380
83195B77F71,584
83125A16140,857
83512355296,1556
83119407816,1029
83222355599,2313
83220421925,6341
83212465854,1038
83212465849,849
83222167720,4020
83220142516,25002
83227542290,2292
83230309627,3099
36132461758,4860
64119382597,2535
64119382627,2042
51128093303-51128093304,16630
51472472520,9670
51138746968-51138746967,24500
51117469880,922
17128570061,1971
18308593696,929
13907614013,4303
33326796137,3917
11617524569,893
51128067763,7669
51192475168,127998
51132469620-51132469621,50800
11122334344,9493
51162405919,15240
51712352812-51712352813,18258
63212450105,33296
51712240832,39304
18302354340,72347
33502409927,79382
51192469556,33952
51712469541,47551
51192446628,80498
51138057223-51138057224,12298
61312250703,11702
18302298448-51122297465,24014
51712352807-51712352808,8520
51628084171,40056
51118077061-51118077062,64000
11148098567,52763
51142456203,4734
18302354364,6432
18302456072,21896
80282411121,343
51138079741,9878
51712447091-51712447092,38320
80935A0A712,22682
51135A36BC9,11446
51135A1AC56,10943
51712467261,48404
32302471439,21866
51128074267-51128074268,22069
51192464331,50580
18302458780,183958
51139503410,13158
52105A40304,75304
51472446289,6027
34108857048,159740
51142472840,3670
51142472837,3670
51148096408,3720
18302407193,48185
34402469136,12720
35006860690,1636
36112459545,163352
36112459546,239828
36112459620,253191
36112463403,38603
36115A3E081,15660
36116863418,22156
36116868047,25226
36116873943,56426
36116874440,25848
36116874441,23262
36116883524,25848
36117855081,32308
36117855087,42233
36117856925,34278
36132453960,4164
51118076049,110860
51142348911,9285
51192350711,33497
51192350712,49756
51192409319,155201
51192410360,76240
51472353820,4403
51472354155,4185
51472447606,4111
51472447608,3206
51472447613,5603
51477433402,8048
51628076046,44493
61312455282,17932
61312463597,16630
61319501592,29403
80232445715,1800
82122406214,5145
82292358508,2642
82292358509,2707
82292358511,2000
82292406337,2642
82292469990,1564
18302444544,73340
36112462640,27403
36112462645,30148
36112463398,9921
36116863424,33790
36117856925,34278
36118090094-36118090095,50205
36118747000-36118747001,32500
51128077357,33739
61319501592,29403
36112462648-36112462649,61073
36116796264,49026
36116883523-36116897085,35817
36116885303-36116885304,147302
36116885305,29078
36116885311-36116885312,78063
36118089890,32308
36118089894 – 36118089895,55793
51117993027-51117993028,132400
51118077353-51118077354,37240
51138074926,1850
51142348098-51142348099,55590
51192350719-51192350720,27500
51192473414-51192473415,144900
51195A198B5,55164
51195A1B175-51195A1B176,110000
51625A09D49,19198
51712456325-51712456326,44739
51952354323,1978
80225A0A665,2028
51622166959,15323
51125A130B0,88549
51192469972-51192469973,132240
